C1,Accuracy,0.67,0.64,0.65,0.72,0.70,0.65,0.73,0.65
C1,Precision,0.64,0.64,0.64,0.76,0.74,0.67,0.72,0.67
C1,Recall,0.66,0.62,0.61,0.69,0.71,0.65,0.66,0.64
C1,F1,0.63,0.65,0.67,0.71,0.76,0.74,0.77,0.70
C2,Accuracy,0.63,0.57,0.58,0.64,0.61,0.61,0.60,0.61
C2,Precision,0.69,0.59,0.58,0.63,0.59,0.60,0.61,0.62
C2,Recall,0.40,0.50,0.50,0.57,0.55,0.53,0.60,0.60
C2,F1,0.74,0.61,0.69,0.68,0.68,0.67,0.71,0.73
C3,Accuracy,0.54,0.65,0.63,0.63,0.64,0.65,0.62,0.70
C3,Precision,0.57,0.66,0.63,0.59,0.58,0.62,0.65,0.68
C3,Recall,0.41,0.57,0.57,0.67,0.60,0.69,0.67,0.69
C3,F1,0.61,0.70,0.67,0.66,0.70,0.69,0.70,0.74
