C1,Accuracy,0.61,0.64,0.68,0.65,0.65,0.70,0.70,0.67
C1,Precision,0.61,0.65,0.70,0.65,0.70,0.73,0.73,0.66
C1,Recall,0.65,0.63,0.69,0.61,0.64,0.65,0.69,0.65
C1,F1,0.62,0.67,0.68,0.71,0.69,0.72,0.77,0.74
C2,Accuracy,0.65,0.61,0.64,0.56,0.61,0.63,0.62,0.63
C2,Precision,0.67,0.65,0.65,0.60,0.65,0.67,0.68,0.66
C2,Recall,0.48,0.42,0.45,0.40,0.55,0.54,0.58,0.61
C2,F1,0.73,0.69,0.72,0.67,0.67,0.68,0.71,0.73
C3,Accuracy,0.56,0.67,0.65,0.64,0.64,0.69,0.65,0.69
C3,Precision,0.58,0.65,0.64,0.68,0.69,0.71,0.68,0.70
C3,Recall,0.43,0.64,0.66,0.62,0.69,0.69,0.65,0.70
C3,F1,0.62,0.67,0.69,0.68,0.67,0.72,0.71,0.74
