1,Accuracy,[0.32, 0.0, 0.933, 0.927, 0.947, 0.96, 0.96, 0.96]
1,Precision,[0.108, 0.0, 0.935, 0.928, 0.947, 0.96, 0.96, 0.96]
1,Recall,[0.32, 0.0, 0.933, 0.927, 0.947, 0.96, 0.96, 0.96]
1,F1,[0.162, 0.0, 0.933, 0.927, 0.947, 0.96, 0.96, 0.96]
2,Accuracy,[0.32, 0.0, 0.887, 0.907, 0.913, 0.933, 0.94, 0.933]
2,Precision,[0.108, 0.0, 0.898, 0.913, 0.918, 0.935, 0.941, 0.935]
2,Recall,[0.32, 0.0, 0.887, 0.907, 0.913, 0.933, 0.94, 0.933]
2,F1,[0.162, 0.0, 0.885, 0.906, 0.913, 0.933, 0.94, 0.933]
3,Accuracy,[0.313, 0.0, 0.887, 0.907, 0.92, 0.953, 0.953, 0.953]
3,Precision,[0.107, 0.0, 0.891, 0.908, 0.92, 0.953, 0.953, 0.953]
3,Recall,[0.313, 0.0, 0.887, 0.907, 0.92, 0.953, 0.953, 0.953]
3,F1,[0.159, 0.0, 0.886, 0.907, 0.92, 0.953, 0.953, 0.953]
4,Accuracy,[0.313, 0.0, 0.873, 0.907, 0.913, 0.933, 0.933, 0.933]
4,Precision,[0.107, 0.0, 0.88, 0.908, 0.914, 0.934, 0.934, 0.935]
4,Recall,[0.313, 0.0, 0.873, 0.907, 0.913, 0.933, 0.933, 0.933]
4,F1,[0.159, 0.0, 0.872, 0.907, 0.913, 0.933, 0.933, 0.933]
5,Accuracy,[0.313, 0.0, 0.887, 0.913, 0.927, 0.953, 0.953, 0.933]
5,Precision,[0.107, 0.0, 0.891, 0.914, 0.927, 0.954, 0.954, 0.933]
5,Recall,[0.313, 0.0, 0.887, 0.913, 0.927, 0.953, 0.953, 0.933]
5,F1,[0.159, 0.0, 0.886, 0.913, 0.927, 0.953, 0.953, 0.933]
